ID,ip_src,port_src,ip_dst,port_dst,protocol,duration,pkt_count_fwd,pkt_count_bwd,rate_fwd_pkts,rate_bwd_pkts,rate_fwd_bytes,rate_bwd_bytes,payload_fwd_mean,payload_bwd_mean,tcp_win_fwd_init,tcp_win_bwd_init,tcp_syn_count,tcp_psh_count,tcp_rst_count,iat_avg_packets,attack_type
TRAIN_00000,192.168.10.18,3721.0,192.168.10.243,55.0,UDP,0.0002310276031494,2,2,8656.974200206398,8656.974200206398,259709.22600619195,1142720.5944272445,81.0,81.0,0,0,0,0,0,,Benign
TRAIN_00001,192.168.10.5,,,91.0,TCP,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,16392,0,0,0,1499097062.498281,Benign
TRAIN_00002,172.16.0.182,,192.168.10.18,83.0,TCP,0.6060018539428711,11,5,18.15175964962805,8.250799840740024,1727.717486650961,19133.604830676115,790.125,790.125,29200,28960,2,4,1,0.04040012,Hulk
TRAIN_00003,,47668.0,192.168.10.18,,TCP,1.003829002380371,6,6,5.977113617729963,5.977113617729963,324.756506563328,11550.772066263156,993.41666667,993.41666667,29200,28960,3,2,0,0.09125718,Hulk
TRAIN_00004,192.168.10.5,51753.0,151.101.2.116,451.0,TCP,181.19527101516724,62,89,,0.4911827968873984,6.573019225762826,689.6758359082094,,,8192,29200,2,22,0,,Benign
TRAIN_00005,192.168.10.205,61716.0,192.168.10.243,46.0,UDP,0.0318160057067871,4,4,125.72288416288237,,4526.023829863765,20618.553002712702,100.0,100.0,0,0,0,0,0,,Benign
TRAIN_00006,192.168.10.5,61337.0,157.240.2.200,443.0,TCP,0.0,1,0,0.0,,0.0,0.0,,,0,0,0,0,1,1499282235.8642907,Benign
TRAIN_00007,192.168.10.43,50154.0,192.168.10.243,58.0,UDP,0.0002088546752929,2,2,9576.036529680365,9576.036529680365,354313.3515981735,1120396.2739726028,77.0,77.0,0,0,0,0,0,,Benign
TRAIN_00008,192.168.10.232,,192.168.10.243,63.0,UDP,0.0002710819244384,2,2,7377.8434476693055,7377.8434476693055,221335.3034300792,767295.7185576077,67.0,67.0,0,0,0,0,0,,Benign
TRAIN_00009,192.168.10.43,2181.0,50.63.243.209,90.0,TCP,,3,2,,0.3501265005347515,0.0,0.0,,,8192,29200,2,0,0,1.42805529,Benign
TRAIN_00010,,55160.0,107.178.245.132,451.0,TCP,0.8744878768920898,13,12,14.865843590881678,13.722317160813857,1435.125669735116,6739.944778819739,285.96,285.96,65535,42408,2,9,0,0.03643699,Benign
TRAIN_00011,,39508.0,,78.0,TCP,0.1900069713592529,5,6,26.31482394688731,31.57778873626477,1631.5190847070132,61024.07673283167,1082.27272727,1082.27272727,29200,28960,2,2,0,0.0190007,Hulk
TRAIN_00012,172.16.0.182,,192.168.10.18,81.0,TCP,0.8749289512634277,9,5,10.286549538683898,5.714749743713277,22.858998974853108,13252.50465567109,829.64285714,829.64285714,8192,29200,2,2,1,,DDoS
TRAIN_00013,192.168.10.243,60266.0,192.168.10.249,59.0,UDP,487.5606060028076,3,3,,0.0061530812027555,0.3630317909625798,0.7629820691416932,,,0,0,0,0,0,97.5121212,Benign
TRAIN_00014,,43645.0,192.168.10.18,79.0,TCP,,1,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,1,1499262739.192102,Hulk
TRAIN_00015,,61006.0,192.168.10.243,60.0,UDP,0.0001771450042724,2,2,,11290.185733512786,587089.6581426648,1241920.4306864066,,,0,0,0,0,0,,Benign
TRAIN_00016,172.16.0.182,51848.0,,,TCP,0.0,1,0,0.0,,0.0,0.0,0.0,0.0,0,0,0,0,1,1499263040.32056,Hulk
